scheme,model,feature,family,gain
cold_cell,lgbm_chem_bio,chem_tpsa_absdiff,Chemistry: descriptors & similarity,0.01525170858716624
cold_cell,lgbm_chem_bio,chem_frac_csp3_sum,Chemistry: descriptors & similarity,0.015243459763265943
cold_drug,lgbm_chem_bio,chem_tpsa_absdiff,Chemistry: descriptors & similarity,0.015227568548699244
random,lgbm_chem_bio,chem_rings_sum,Chemistry: descriptors & similarity,0.015205011085827468
cold_cell,lgbm_all,te_drug_max,Screen history: in-fold mean ZIP,0.015111314571902597
cold_drug,lgbm_chem_bio,chem_qed_absdiff,Chemistry: descriptors & similarity,0.015073297331025139
random,lgbm_chem_bio,chem_tpsa_absdiff,Chemistry: descriptors & similarity,0.015003434352703621
random,lgbm_all,te_drug_max,Screen history: in-fold mean ZIP,0.01494582409130929
cold_cell,lgbm_study,n_cell_log,Screen history: in-fold counts,0.01487599849873688
random,lgbm_study,n_drugcell_min_log,Screen history: in-fold counts,0.01481394857079951
cold_cell,lgbm_chem_bio,chem_rings_sum,Chemistry: descriptors & similarity,0.014648825644908275
cold_drug,lgbm_chem_bio,chem_tanimoto,Chemistry: descriptors & similarity,0.014308625825669004
cold_drug,lgbm_chem_bio,chem_logp_absdiff,Chemistry: descriptors & similarity,0.014252735644721555
random,lgbm_all_no_history,tgt_mut_max,Targets in the cell line,0.014216730086612216
cold_pair,lgbm_all_no_history,tgt_mut_max,Targets in the cell line,0.014030931339953362
cold_pair,lgbm_chem_bio,rna_pc15,Biology: RNA expression PCs,0.013934379137170874
cold_cell,lgbm_chem_bio,rna_pc29,Biology: RNA expression PCs,0.013800415492869282
cold_drug,lgbm_study,chem_tanimoto,Chemistry: descriptors & similarity,0.013720940029135825
cold_cell,lgbm_chem_bio,chem_qed_absdiff,Chemistry: descriptors & similarity,0.013713564649122328
cold_pair,lgbm_chem_bio,chem_logp_absdiff,Chemistry: descriptors & similarity,0.013548620456459631
random,lgbm_chem_bio,chem_logp_absdiff,Chemistry: descriptors & similarity,0.013495324641615252
cold_cell,lgbm_all_no_history,tgt_mut_max,Targets in the cell line,0.013490011878894691
cold_pair,lgbm_all,mono_inh_max_min,Monotherapy response,0.01343770391295914
cold_drug,lgbm_study,chem_logp_sum,Chemistry: descriptors & similarity,0.013360580694341524
cold_cell,lgbm_all,mono_inh_max_min,Monotherapy response,0.013325800537260651
cold_pair,lgbm_full,n_drugcell_max_log,Screen history: in-fold counts,0.013314540581347753
random,lgbm_chem_bio,chem_qed_absdiff,Chemistry: descriptors & similarity,0.013308653652262076
random,lgbm_all,mono_inh_max_min,Monotherapy response,0.013290552803523432
cold_drug,lgbm_full,chem_tpsa_absdiff,Chemistry: descriptors & similarity,0.013280794220944468
cold_drug,lgbm_study,chem_frac_csp3_sum,Chemistry: descriptors & similarity,0.013222049708580855
random,lgbm_chem_bio,chem_tanimoto,Chemistry: descriptors & similarity,0.013219402090481754
cold_drug,lgbm_all,mono_inh_max_min,Monotherapy response,0.01321051180536125
cold_drug,lgbm_full,chem_frac_csp3_sum,Chemistry: descriptors & similarity,0.01317901575747705
cold_cell,lgbm_study,chem_tanimoto,Chemistry: descriptors & similarity,0.013167635858352691
cold_drug,lgbm_chem_bio,chem_frac_csp3_absdiff,Chemistry: descriptors & similarity,0.0131579611833823
cold_cell,lgbm_chem_bio,chem_logp_absdiff,Chemistry: descriptors & similarity,0.013107224446604726
random,lgbm_study,chem_logp_sum,Chemistry: descriptors & similarity,0.013050244924711385
cold_cell,lgbm_chem_bio,chem_tanimoto,Chemistry: descriptors & similarity,0.013041247911573073
cold_drug,lgbm_study,chem_qed_absdiff,Chemistry: descriptors & similarity,0.013010626345195125
cold_drug,lgbm_full,chem_logp_sum,Chemistry: descriptors & similarity,0.012990276348685693
cold_pair,lgbm_chem_bio,chem_qed_absdiff,Chemistry: descriptors & similarity,0.012978526820372418
cold_pair,lgbm_chem_bio,chem_tanimoto,Chemistry: descriptors & similarity,0.012969076096612396
cold_drug,lgbm_full,chem_frac_csp3_absdiff,Chemistry: descriptors & similarity,0.012926348166541984
cold_cell,lgbm_chem_bio,chem_frac_csp3_absdiff,Chemistry: descriptors & similarity,0.012915498258391757
cold_drug,lgbm_study,chem_frac_csp3_absdiff,Chemistry: descriptors & similarity,0.012890035458981567
cold_drug,lgbm_full,chem_tanimoto,Chemistry: descriptors & similarity,0.012887959415475853
cold_pair,lgbm_chem_bio,rna_pc29,Biology: RNA expression PCs,0.012863311546450472
cold_pair,lgbm_full,chem_logp_absdiff,Chemistry: descriptors & similarity,0.01285202968756201
cold_pair,lgbm_study,chem_frac_csp3_sum,Chemistry: descriptors & similarity,0.012837401205411584
cold_pair,lgbm_mono,n_drugcell_max_log,Screen history: in-fold counts,0.012792586576638641
random,lgbm_chem_bio,rna_pc29,Biology: RNA expression PCs,0.012774576338750272
cold_drug,lgbm_chem_bio,rna_pc13,Biology: RNA expression PCs,0.012739455382109521
cold_drug,lgbm_chem_bio,chem_mol_wt_absdiff,Chemistry: descriptors & similarity,0.012733464069014336
cold_cell,lgbm_study,chem_logp_sum,Chemistry: descriptors & similarity,0.012638413522052729
cold_drug,lgbm_study,chem_tpsa_absdiff,Chemistry: descriptors & similarity,0.012630289440265882
cold_drug,lgbm_full,chem_qed_absdiff,Chemistry: descriptors & similarity,0.012602144480632793
random,lgbm_chem_bio,chem_frac_csp3_absdiff,Chemistry: descriptors & similarity,0.012561293720388464
cold_pair,lgbm_full,chem_tpsa_absdiff,Chemistry: descriptors & similarity,0.012550613983003991
random,lgbm_full,chem_frac_csp3_absdiff,Chemistry: descriptors & similarity,0.012520530774948831
random,lgbm_full,chem_frac_csp3_sum,Chemistry: descriptors & similarity,0.01250318995985942
cold_pair,lgbm_study,chem_logp_sum,Chemistry: descriptors & similarity,0.012484187030210007
cold_cell,lgbm_study,chem_frac_csp3_sum,Chemistry: descriptors & similarity,0.012463601064922942
cold_drug,lgbm_full,chem_qed_sum,Chemistry: descriptors & similarity,0.012458560360246356
random,lgbm_full,chem_logp_sum,Chemistry: descriptors & similarity,0.012416493742976703
random,lgbm_full,chem_tpsa_absdiff,Chemistry: descriptors & similarity,0.012413043599248384
cold_pair,lgbm_full,chem_frac_csp3_sum,Chemistry: descriptors & similarity,0.012411816126974581
cold_pair,lgbm_chem_bio,chem_frac_csp3_absdiff,Chemistry: descriptors & similarity,0.0124055176054671
cold_drug,lgbm_full,chem_logp_absdiff,Chemistry: descriptors & similarity,0.0123683714097139
random,lgbm_study,chem_frac_csp3_sum,Chemistry: descriptors & similarity,0.012346274243274327
cold_cell,lgbm_full,chem_tpsa_sum,Chemistry: descriptors & similarity,0.012338580796054077
cold_pair,lgbm_full,chem_qed_absdiff,Chemistry: descriptors & similarity,0.012302206002655115
random,lgbm_chem_bio,rna_pc13,Biology: RNA expression PCs,0.012302185234028117
cold_drug,lgbm_study,chem_logp_absdiff,Chemistry: descriptors & similarity,0.012272411282433273
random,lgbm_study,chem_tanimoto,Chemistry: descriptors & similarity,0.012265702114819055
cold_pair,lgbm_study,chem_tanimoto,Chemistry: descriptors & similarity,0.012264361282814433
cold_pair,lgbm_study,chem_qed_absdiff,Chemistry: descriptors & similarity,0.012223417580796807
cold_drug,lgbm_full,chem_tpsa_sum,Chemistry: descriptors & similarity,0.012220215866038858
random,lgbm_full,n_drugcell_max_log,Screen history: in-fold counts,0.012202091191492756
